Startdatum;Enddatum;Portfolioname;Währung;Kampagnen-Name;Anzeigengruppenname;Ausrichtung;Übereinstimmungstyp;Suchbegriff des Kunden;Impressionen;Klicks;Klickrate (CTR);Kosten pro Klick (CPC);Ausgaben;7 Tage, Umsatz gesamt (€);Gesamtumsatzkosten für Werbung (ACOS) ;Gesamtrendite von Werbeausgaben (Return on Advertising Spend, ROAS);7 Tage, Aufträge gesamt (#);7 Tage, Einheiten gesamt (#);7-Tage-Konversionsrate;7 Tage, Beworbene SKU-Einheiten (#);7-Tage, Andere SKU-Einheiten (#);7 Tage, Beworbene SKU-Umsätze (€);7-Tage, Andere SKU-Umsätze (€)
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad deko;PHRASE;schöne bad deko edelstahl;3;1;33,3333%;€0,07;€0,07;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 12, 2023;Apr 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad deko;PHRASE;weiss marmor bad deko schale lang;1;1;100,0000%;€0,16;€0,16;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 12, 2023;Mai 12, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör bank;1;1;100,0000%;€0,17;€0,17;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 13, 2023;Apr 13, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör desk;1;1;100,0000%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 01, 2023;Apr 01, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör romantisch;4;1;25,0000%;€0,29;€0,29;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 30, 2023;Mai 30, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör schilder;3;1;33,3333%;€0,20;€0,20;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Apr 03, 2023;Apr 03, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;bad zubehör set glas;1;1;100,0000%;€0,14;€0,14;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 09, 2023;Mai 09, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bad zubehor;PHRASE;spiegelschrank bad zubehör;1;1;100,0000%;€0,26;€0,26;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 08, 2023;Mai 08, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bamboo bathtub tray;3;1;33,3333%;€0,69;€0,69;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mrz 29, 2023;Mai 29, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray;1056;29;2,7462%;€0,77;€22,38;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
Mai 11, 2023;Mai 11, 2023;Not grouped;EUR;Novana_Badewannenablage - Perpetua - SP - Manual - h4r5hb1q;Ad Group PHRASE Match;bathtub tray;PHRASE;bathtub tray acliryc;1;1;100,0000%;€0,89;€0,89;€0,00;;0,00;0;0;0,0000%;0;0;€0,00;€0,00
